Label(A_A'_B_X),E_A1,E_A',E_P,E_K,E_H
Ag_Al_Fe_S_,-2.725,-3.738,-60.595,-81.014,-61.293
Ag_Al_Ga_O_,-2.725,-3.738,-62.148,-82.586,-64.042
Ag_Al_Hg_O_,-2.725,-3.738,-38.777,-60.389,-47.039
Ag_Al_Hg_S_,-2.725,-3.738,-32.66,-47.864,-36.666
Ag_Al_Ho_S_,-2.725,-3.738,-62.297,-82.896,-62.443
Ag_Al_In_O_,-2.725,-3.738,-58.561,-80.206,-60.737
Ag_Al_Ni_O_,-2.725,-3.738,-61.392,-85.327,-64.125
Ag_Al_Sn_S_,-2.725,-3.738,-47.56,-66.304,-50.315
Ag_Al_Sr_S_,-2.725,-3.738,-48.481,-68.893,-52.507
Ag_Al_V_O_,-2.725,-3.738,-82.746,-111.626,-85.372
Ag_Al_V_Se_,-2.725,-3.738,-60.86,-81.445,-61.705
Ag_As_Ba_O_,-2.725,-4.581,-58.331,-81.389,-61.966
Ag_As_Ba_Te_,-2.725,-4.581,-41.382,-56.762,-43.272
Ag_As_Ce_S_,-2.725,-4.581,-62.225,-82.922,-62.148
Ag_As_Dy_Te_,-2.725,-4.581,-50.515,-68.858,-51.239
Ag_As_Er_Se_,-2.725,-4.581,-56.551,-76.118,-57.051
Ag_As_Fe_S_,-2.725,-4.581,-60.595,-80.645,-61.86
Ag_As_Gd_O_,-2.725,-4.581,-78.784,-103.381,-79.512
Ag_As_In_O_,-2.725,-4.581,-58.561,-77.128,-59.537
Ag_As_Lu_S_,-2.725,-4.581,-62.079,-82.647,-62.118
Ag_As_Na_S_,-2.725,-4.581,-41.75,-56.789,-42.081
Ag_As_Nd_Te_,-2.725,-4.581,-51.413,-69.962,-51.924
Ag_As_Pr_S_,-2.725,-4.581,-62.311,-83.097,-62.288
Ag_As_Pt_Se_,-2.725,-4.581,-49.199,-66.859,-51.105
Ag_As_Sm_S_,-2.725,-4.581,-62.339,-83.182,-62.387
Ag_As_Tb_Se_,-2.725,-4.581,-56.805,-76.602,-57.339
Ag_As_Y_O_,-2.725,-4.581,-84.957,-111.473,-85.614
Ag_As_Yb_S_,-2.725,-4.581,-48.752,-68.017,-51.684
Ag_As_Zr_Te_,-2.725,-4.581,-58.591,-79.067,-60.294
Ag_Ba_Bi_O_,-2.725,-1.914,-58.779,-80.495,-60.523
Ag_Ba_Ce_Se_,-2.725,-1.914,-57.093,-77.859,-59.061
Ag_Ba_Cr_O_,-2.725,-1.914,-79.951,-107.167,-79.706
Ag_Ba_Dy_S_,-2.725,-1.914,-62.35,-84.265,-63.854
Ag_Ba_Fe_Se_,-2.725,-1.914,-55.245,-74.861,-56.845
Ag_Ba_Gd_S_,-2.725,-1.914,-62.424,-84.426,-63.95
Ag_Ba_Ho_O_,-2.725,-1.914,-79.288,-105.934,-79.893
Ag_Ba_In_O_,-2.725,-1.914,-58.561,-79.444,-60.244
Ag_Ba_Na_Te_,-2.725,-1.914,-34.336,-48.06,-36.706
Ag_Ba_Na_Se_,-2.725,-1.914,-38.061,-52.419,-40.154
Ag_Ba_Pr_Se_,-2.725,-1.914,-57.119,-77.925,-59.083
Ag_Ba_Rh_O_,-2.725,-1.914,-66.629,-89.344,-67.73
Ag_Ba_Sc_Se_,-2.725,-1.914,-60.417,-82.434,-62.44
Ag_Ba_Y_Te_,-2.725,-1.914,-56.415,-77.067,-58.322
Ag_Bi_Dy_Se_,-2.725,-3.743,-56.719,-75.909,-56.967
Ag_Bi_Er_S_,-2.725,-3.743,-62.255,-82.537,-62.059
Ag_Bi_Ga_Te_,-2.725,-3.743,-37.228,-51.253,-38.796
Ag_Bi_Gd_Se_,-2.725,-3.743,-56.898,-76.216,-57.151
Ag_Bi_La_Te_,-2.725,-3.743,-53.111,-71.32,-53.003
Ag_Bi_Lu_S_,-2.725,-3.743,-62.079,-82.213,-61.859
Ag_Bi_Na_S_,-2.725,-3.743,-41.75,-56.796,-43.359
Ag_Bi_Pd_S_,-2.725,-3.743,-49.923,-67.772,-51.147
Ag_Bi_Rb_Te_,-2.725,-3.743,-33.186,-46.302,-35.598
Ag_Bi_Sb_Se_,-2.725,-3.743,-43.803,-59.043,-44.328
Ag_Bi_Sb_S_,-2.725,-3.743,-47.055,-63.702,-47.353
Ag_Bi_Sc_Se_,-2.725,-3.743,-60.417,-80.785,-60.66
Ag_Bi_Sm_O_,-2.725,-3.743,-78.201,-102.555,-78.585
Ag_Bi_Sn_Se_,-2.725,-3.743,-44.203,-60.338,-45.608
Ag_Ca_Ba_O_,-2.725,-1.918,-58.331,-82.43,-62.503
Ag_Ca_Co_O_,-2.725,-1.918,-68.597,-92.177,-69.703
Ag_Ca_Cr_O_,-2.725,-1.918,-79.951,-108.143,-80.776
Ag_Ca_Dy_Te_,-2.725,-1.918,-50.515,-69.135,-52.303
Ag_Ca_Dy_S_,-2.725,-1.918,-62.35,-84.734,-64.137
Ag_Ca_Fe_Te_,-2.725,-1.918,-51.274,-68.998,-52.165
Ag_Ca_Hg_Se_,-2.725,-1.918,-30.05,-43.3,-32.754
Ag_Ca_Ho_Te_,-2.725,-1.918,-50.362,-68.904,-52.123
Ag_Ca_In_O_,-2.725,-1.918,-58.561,-80.276,-60.62
Ag_Ca_In_Te_,-2.725,-1.918,-36.758,-51.145,-38.874
Ag_Ca_K_Te_,-2.725,-1.918,-33.853,-47.415,-36.482
Ag_Ca_La_Te_,-2.725,-1.918,-53.111,-72.041,-54.571
Ag_Ca_La_Se_,-2.725,-1.918,-58.697,-80.03,-60.504
Ag_Ca_Mo_Se_,-2.725,-1.918,-64.706,-88.191,-65.824
Ag_Ca_Ni_Se_,-2.725,-1.918,-47.357,-65.307,-49.64
Ag_Ca_Rh_O_,-2.725,-1.918,-66.629,-89.825,-68.215
Ag_Ca_Sb_Se_,-2.725,-1.918,-43.803,-60.429,-45.802
Ag_Ca_V_O_,-2.725,-1.918,-82.746,-111.277,-83.918
Ag_Ca_Y_O_,-2.725,-1.918,-84.957,-114.175,-86.313
Ag_Ca_Y_S_,-2.725,-1.918,-68.218,-92.543,-69.998
Ag_Ca_Zr_Se_,-2.725,-1.918,-64.883,-88.131,-66.692
Ag_Ce_As_Te_,-2.725,-4.731,-41.035,-58.864,-45.014
Ag_Ce_Er_Se_,-2.725,-4.731,-56.551,-79.489,-60.666
Ag_Ce_Er_S_,-2.725,-4.731,-62.255,-86.732,-66.189
Ag_Ce_Hg_S_,-2.725,-4.731,-32.66,-51.188,-39.664
Ag_Ce_La_Se_,-2.725,-4.731,-58.697,-82.437,-62.993
Ag_Ce_Li_S_,-2.725,-4.731,-43.914,-64.346,-50.168
Ag_Ce_Pd_Se_,-2.725,-4.731,-46.822,-67.791,-52.638
Ag_Ce_Pt_Te_,-2.725,-4.731,-47.293,-66.788,-51.563
Ag_Ce_Rh_Te_,-2.725,-4.731,-51.307,-72.29,-55.309
Ag_Ce_Tl_O_,-2.725,-4.731,-50.217,-74.152,-57.827
Ag_Co_Al_O_,-2.725,-6.825,-72.902,-97.381,-75.493
Ag_Co_Al_Te_,-2.725,-6.825,-40.722,-57.629,-44.068
Ag_Co_Cr_O_,-2.725,-6.825,-79.951,-108.455,-83.925
Ag_Co_Cr_Se_,-2.725,-6.825,-59.761,-81.581,-62.857
Ag_Co_Cs_Se_,-2.725,-6.825,-35.765,-52.726,-40.188
Ag_Co_Ni_S_,-2.725,-6.825,-51.556,-71.869,-54.845
Ag_Co_Pr_O_,-2.725,-6.825,-77.636,-103.326,-80.454
Ag_Co_Sr_S_,-2.725,-6.825,-48.481,-69.321,-53.032
Ag_Cr_Bi_Te_,-2.725,-9.494,-40.47,-58.309,-44.724
Ag_Cr_Fe_O_,-2.725,-9.494,-72.126,-99.716,-77.845
Ag_Cr_Fe_S_,-2.725,-9.494,-60.595,-85.39,-64.903
Ag_Cr_In_O_,-2.725,-9.494,-58.561,-81.281,-63.012
Ag_Cr_Lu_O_,-2.725,-9.494,-79.801,-108.072,-84.291
Ag_Cr_Mo_Se_,-2.725,-9.494,-64.706,-90.177,-68.539
Ag_Cr_Na_Te_,-2.725,-9.494,-34.336,-51.38,-40.876
Ag_Cr_Pd_O_,-2.725,-9.494,-57.013,-83.677,-63.424
Ag_Cr_Rb_Se_,-2.725,-9.494,-36.025,-55.17,-43.445
Ag_Cr_Rh_O_,-2.725,-9.494,-66.629,-93.326,-71.359
Ag_Cr_Rh_Se_,-2.725,-9.494,-54.397,-77.35,-57.297
Ag_Cr_Sc_S_,-2.725,-9.494,-66.078,-92.794,-70.634
Ag_Cr_Sm_Te_,-2.725,-9.494,-51.134,-73.699,-55.507
Ag_Cs_As_O_,-2.725,-0.831,-58.237,-81.447,-57.175
Ag_Cs_As_Te_,-2.725,-0.831,-41.035,-53.708,-39.847
Ag_Cs_As_S_,-2.725,-0.831,-47.359,-63.262,-46.205
Ag_Cs_Ce_S_,-2.725,-0.831,-62.225,-81.387,-61.314
Ag_Cs_Cr_S_,-2.725,-0.831,-65.6,-85.492,-63.46
Ag_Cs_Er_Te_,-2.725,-0.831,-50.198,-66.308,-49.641
Ag_Cs_Ga_Te_,-2.725,-0.831,-37.228,-49.109,-37.079
Ag_Cs_Gd_Se_,-2.725,-0.831,-56.898,-75.071,-56.315
Ag_Cs_Ho_S_,-2.725,-0.831,-62.297,-81.487,-61.304
Ag_Cs_La_O_,-2.725,-0.831,-79.318,-102.064,-77.876
Ag_Cs_Pd_O_,-2.725,-0.831,-57.013,-75.023,-56.062
Ag_Cs_Pr_Te_,-2.725,-0.831,-51.502,-67.779,-50.934
Ag_Cs_Pt_S_,-2.725,-0.831,-52.928,-69.169,-52.861
Ag_Cs_Rb_S_,-2.725,-0.831,-39.883,-52.981,-40.357
Ag_Cs_Rh_S_,-2.725,-0.831,-59.031,-76.361,-57.036
Ag_Cs_Sc_O_,-2.725,-0.831,-84.237,-109.017,-82.231
Ag_Cs_Sn_S_,-2.725,-0.831,-47.56,-62.46,-47.018
Ag_Cs_Sr_O_,-2.725,-0.831,-58.672,-77.906,-58.115
Ag_Cs_Sr_Se_,-2.725,-0.831,-44.712,-58.646,-44.621
Ag_Cs_V_Te_,-2.725,-0.831,-54.974,-72.059,-53.895
Ag_Cs_Yb_Te_,-2.725,-0.831,-39.409,-52.029,-39.166
Ag_Cs_Yb_S_,-2.725,-0.831,-48.752,-63.94,-48.683
Ag_Cu_Ba_O_,-2.725,-3.73,-58.331,-79.909,-60.327
Ag_Cu_Ca_Te_,-2.725,-3.73,-40.77,-56.198,-41.716
Ag_Cu_Cr_O_,-2.725,-3.73,-79.951,-107.119,-81.388
Ag_Cu_Dy_Se_,-2.725,-3.73,-56.719,-76.615,-57.525
Ag_Cu_Fe_Te_,-2.725,-3.73,-51.274,-68.207,-51.962
Ag_Cu_Fe_S_,-2.725,-3.73,-60.595,-80.083,-61.579
Ag_Cu_Gd_Te_,-2.725,-3.73,-50.929,-69.361,-51.595
Ag_Cu_K_O_,-2.725,-3.73,-46.762,-67.246,-48.535
Ag_Cu_Nd_Se_,-2.725,-3.73,-57.105,-76.81,-57.944
Ag_Cu_Rh_O_,-2.725,-3.73,-66.629,-87.154,-67.696
Ag_Cu_Tl_Se_,-2.725,-3.73,-37.416,-50.93,-38.438
Ag_Cu_Tm_O_,-2.725,-3.73,-79.583,-104.179,-80.797
Ag_Dy_As_S_,-2.725,-4.528,-47.359,-68.412,-52.357
Ag_Dy_Co_Te_,-2.725,-4.528,-48.839,-68.292,-52.193
Ag_Dy_Co_S_,-2.725,-4.528,-57.856,-80.488,-61.719
Ag_Dy_Eu_Te_,-2.725,-4.528,-51.018,-71.696,-54.688
Ag_Dy_Eu_S_,-2.725,-4.528,-62.361,-87.154,-66.49
Ag_Dy_Fe_Te_,-2.725,-4.528,-51.274,-71.18,-54.489
Ag_Dy_Ga_Se_,-2.725,-4.528,-41.369,-60.733,-46.87
Ag_Dy_Hg_Te_,-2.725,-4.528,-27.614,-41.74,-32.251
Ag_Dy_La_O_,-2.725,-4.528,-79.318,-109.67,-82.94
Ag_Dy_Pd_Se_,-2.725,-4.528,-46.822,-67.551,-52.199
Ag_Dy_Pt_O_,-2.725,-4.528,-58.741,-83.614,-67.071
Ag_Dy_Pt_S_,-2.725,-4.528,-52.928,-74.651,-58.99
Ag_Dy_Rb_S_,-2.725,-4.528,-39.883,-60.011,-45.887
Ag_Dy_Sn_S_,-2.725,-4.528,-47.56,-69.551,-53.714
Ag_Dy_Tl_O_,-2.725,-4.528,-50.217,-74.726,-58.279
Ag_Er_As_S_,-2.725,-4.492,-47.359,-68.38,-52.287
Ag_Er_Bi_Se_,-2.725,-4.492,-44.01,-62.863,-48.074
Ag_Er_Ca_Se_,-2.725,-4.492,-45.248,-67.835,-52.738
Ag_Er_Ce_Se_,-2.725,-4.492,-57.093,-80.345,-61.218
Ag_Er_Co_Se_,-2.725,-4.492,-52.758,-73.851,-56.582
Ag_Er_Cr_O_,-2.725,-4.492,-79.951,-110.934,-83.704
Ag_Er_Cs_Se_,-2.725,-4.492,-35.765,-54.848,-42.597
Ag_Er_Fe_Te_,-2.725,-4.492,-51.274,-71.03,-54.325
Ag_Er_Fe_S_,-2.725,-4.492,-60.595,-84.341,-64.789
Ag_Er_Hg_Te_,-2.725,-4.492,-27.614,-41.659,-32.169
Ag_Er_Li_S_,-2.725,-4.492,-43.914,-64.505,-50.234
Ag_Er_Pd_Te_,-2.725,-4.492,-44.664,-63.516,-48.646
Ag_Er_Sc_O_,-2.725,-4.492,-84.237,-116.5,-88.456
Ag_Er_Sc_Se_,-2.725,-4.492,-60.417,-84.676,-64.57
Ag_Er_Sn_O_,-2.725,-4.492,-60.762,-87.446,-64.394
Ag_Er_Sr_Te_,-2.725,-4.492,-39.873,-59.594,-46.308
Ag_Er_V_Se_,-2.725,-4.492,-60.86,-84.883,-64.341
Ag_Er_Y_Te_,-2.725,-4.492,-56.415,-78.796,-59.939
Ag_Er_Yb_Se_,-2.725,-4.492,-44.374,-66.623,-51.831
Ag_Eu_Al_S_,-2.725,-4.605,-52.814,-73.318,-56.163
Ag_Eu_Co_S_,-2.725,-4.605,-57.856,-80.597,-61.821
Ag_Eu_Cs_Se_,-2.725,-4.605,-35.765,-54.919,-42.681
Ag_Eu_Cs_S_,-2.725,-4.605,-39.661,-59.655,-45.479
Ag_Eu_Gd_Te_,-2.725,-4.605,-50.929,-71.72,-54.737
Ag_Eu_K_Te_,-2.725,-4.605,-33.853,-50.724,-39.899
Ag_Eu_La_S_,-2.725,-4.605,-63.868,-89.041,-67.891
Ag_Eu_Li_Te_,-2.725,-4.605,-36.042,-53.57,-41.584
Ag_Eu_Na_O_,-2.725,-4.605,-48.742,-76.711,-59.221
Ag_Eu_Rb_Te_,-2.725,-4.605,-33.186,-50.044,-39.475
Ag_Eu_Tm_Se_,-2.725,-4.605,-56.451,-79.126,-60.331
Ag_Eu_Y_S_,-2.725,-4.605,-68.218,-94.801,-72.234
Ag_Ga_Ce_Te_,-2.725,-2.923,-51.56,-68.975,-51.942
Ag_Ga_Co_O_,-2.725,-2.923,-68.597,-90.771,-69.327
Ag_Ga_Cr_O_,-2.725,-2.923,-79.951,-107.702,-81.514
Ag_Ga_Er_S_,-2.725,-2.923,-62.255,-82.738,-62.172
Ag_Ga_Fe_Se_,-2.725,-2.923,-55.245,-73.283,-55.301
Ag_Ga_In_O_,-2.725,-2.923,-58.561,-77.097,-59.177
Ag_Ga_K_S_,-2.725,-2.923,-40.89,-56.129,-42.169
Ag_Ga_Li_Se_,-2.725,-2.923,-40.103,-54.543,-40.596
Ag_Ga_Lu_Te_,-2.725,-2.923,-49.794,-66.953,-50.36
Ag_Ga_Pd_S_,-2.725,-2.923,-49.923,-68.094,-51.219
Ag_Ga_Pt_Se_,-2.725,-2.923,-49.199,-66.197,-49.664
Ag_Ga_Sn_O_,-2.725,-2.923,-60.762,-81.06,-61.375
Ag_Ga_Tl_Te_,-2.725,-2.923,-34.58,-47.006,-35.27
Ag_Gd_Ba_S_,-2.725,-4.584,-49.854,-72.884,-56.553
Ag_Gd_Co_Te_,-2.725,-4.584,-48.839,-68.424,-52.328
Ag_Gd_Co_Se_,-2.725,-4.584,-52.758,-74.092,-56.818
Ag_Gd_Cs_S_,-2.725,-4.584,-39.661,-59.682,-45.51
Ag_Gd_Dy_S_,-2.725,-4.584,-62.35,-86.987,-66.362
Ag_Gd_Ga_O_,-2.725,-4.584,-62.148,-86.729,-66.193
Ag_Gd_Ga_S_,-2.725,-4.584,-46.321,-66.563,-51.305
Ag_Gd_Na_Te_,-2.725,-4.584,-34.336,-51.047,-39.895
Ag_Gd_Na_S_,-2.725,-4.584,-41.75,-61.754,-48.157
Ag_Gd_Rb_Te_,-2.725,-4.584,-33.186,-50.043,-39.454
Ag_Gd_Sn_Se_,-2.725,-4.584,-44.203,-64.543,-49.818
Ag_Gd_Sr_Se_,-2.725,-4.584,-44.712,-66.796,-51.954
Ag_Gd_Tb_O_,-2.725,-4.584,-79.049,-109.851,-82.908
Ag_Gd_Tl_O_,-2.725,-4.584,-50.217,-74.654,-58.235
Ag_Gd_Y_S_,-2.725,-4.584,-68.218,-94.795,-72.222
Ag_Hg_As_Te_,-2.725,-0.189,-41.035,-52.284,-38.534
Ag_Hg_Bi_S_,-2.725,-0.189,-47.303,-60.0,-44.374
Ag_Hg_Ce_Se_,-2.725,-0.189,-57.093,-72.969,-54.114
Ag_Hg_Cr_O_,-2.725,-0.189,-79.951,-104.537,-77.718
Ag_Hg_Cs_Se_,-2.725,-0.189,-35.765,-46.391,-34.686
Ag_Hg_Cs_S_,-2.725,-0.189,-39.661,-50.606,-36.561
Ag_Hg_Eu_Se_,-2.725,-0.189,-56.912,-73.038,-53.932
Ag_Hg_Eu_S_,-2.725,-0.189,-62.361,-79.179,-58.943
Ag_Hg_Fe_O_,-2.725,-0.189,-72.126,-92.927,-69.601
Ag_Hg_Ho_Te_,-2.725,-0.189,-50.362,-65.028,-47.663
Ag_Hg_In_O_,-2.725,-0.189,-58.561,-73.271,-55.502
Ag_Hg_In_Te_,-2.725,-0.189,-36.758,-46.619,-34.353
Ag_Hg_In_S_,-2.725,-0.189,-45.251,-56.945,-41.89
Ag_Hg_Na_Te_,-2.725,-0.189,-34.336,-44.182,-32.309
Ag_Hg_Nd_S_,-2.725,-0.189,-62.359,-79.053,-58.939
Ag_Hg_Pd_O_,-2.725,-0.189,-57.013,-72.498,-54.22
Ag_Hg_Pt_S_,-2.725,-0.189,-52.928,-67.515,-50.132
Ag_Hg_Rb_Se_,-2.725,-0.189,-36.025,-46.657,-34.948
Ag_Hg_Rb_S_,-2.725,-0.189,-39.883,-50.932,-38.386
Ag_Hg_Rh_Se_,-2.725,-0.189,-54.397,-68.744,-51.667
Ag_Hg_Sb_O_,-2.725,-0.189,-58.323,-76.87,-55.944
Ag_Hg_Sm_Te_,-2.725,-0.189,-51.134,-65.938,-48.343
Ag_Hg_Sn_Te_,-2.725,-0.189,-40.575,-51.573,-38.032
Ag_Hg_Sr_S_,-2.725,-0.189,-48.481,-62.947,-46.262
Ag_Hg_Tb_Se_,-2.725,-0.189,-56.805,-72.931,-53.65
Ag_Hg_Tl_O_,-2.725,-0.189,-50.217,-63.211,-48.014
Ag_Hg_Tl_Se_,-2.725,-0.189,-37.416,-47.549,-35.065
Ag_Hg_V_Se_,-2.725,-0.189,-60.86,-77.934,-58.5
Ag_Hg_Y_O_,-2.725,-0.189,-84.957,-107.411,-81.28
Ag_Ho_Ba_O_,-2.725,-4.508,-58.331,-87.504,-68.067
Ag_Ho_Bi_Te_,-2.725,-4.508,-40.47,-57.596,-43.864
Ag_Ho_Ce_O_,-2.725,-4.508,-77.243,-107.165,-81.002
Ag_Ho_Cr_Se_,-2.725,-4.508,-59.761,-83.38,-62.925
Ag_Ho_Cr_S_,-2.725,-4.508,-65.6,-91.198,-68.774
Ag_Ho_Cs_Te_,-2.725,-4.508,-32.832,-49.848,-38.114
Ag_Ho_Ga_O_,-2.725,-4.508,-62.148,-86.495,-66.316
Ag_Ho_Mo_O_,-2.725,-4.508,-84.263,-116.945,-88.679
Ag_Ho_Mo_Se_,-2.725,-4.508,-64.706,-90.142,-67.911
Ag_Ho_Mo_S_,-2.725,-4.508,-70.528,-97.921,-73.834
Ag_Ho_Ni_Se_,-2.725,-4.508,-47.357,-68.043,-52.302
Ag_Ho_Sb_Te_,-2.725,-4.508,-40.472,-57.637,-43.865
Ag_Ho_Sc_O_,-2.725,-4.508,-84.237,-116.528,-88.428
Ag_Ho_Sn_O_,-2.725,-4.508,-60.762,-87.437,-67.98
Ag_Ho_Sn_S_,-2.725,-4.508,-47.56,-69.538,-53.693
Ag_Ho_Sr_Se_,-2.725,-4.508,-44.712,-66.719,-51.859
Ag_Ho_Tm_Se_,-2.725,-4.508,-56.451,-78.901,-60.047
Ag_In_As_S_,-2.725,-2.574,-47.359,-63.8,-47.525
Ag_In_Cr_O_,-2.725,-2.574,-79.951,-107.472,-80.749
Ag_In_Dy_S_,-2.725,-2.574,-62.35,-82.339,-61.89
Ag_In_Fe_O_,-2.725,-2.574,-72.126,-95.996,-72.865
Ag_In_Fe_Se_,-2.725,-2.574,-55.245,-73.125,-55.193
Ag_In_Ga_Se_,-2.725,-2.574,-41.369,-55.959,-42.122
Ag_In_Mo_O_,-2.725,-2.574,-84.263,-113.343,-84.94
Ag_In_Na_S_,-2.725,-2.574,-41.75,-56.33,-41.705
Ag_In_Pt_Te_,-2.725,-2.574,-47.293,-63.252,-47.451
Ag_In_Yb_Se_,-2.725,-2.574,-44.374,-61.093,-46.235
Ag_K_Cr_O_,-2.725,-1.033,-79.951,-105.208,-77.951
Ag_K_Cr_Te_,-2.725,-1.033,-54.24,-72.069,-53.49
Ag_K_Cr_Se_,-2.725,-1.033,-59.761,-79.247,-58.713
Ag_K_Cu_Se_,-2.725,-1.033,-41.281,-53.91,-41.065
Ag_K_Dy_O_,-2.725,-1.033,-79.174,-103.562,-78.509
Ag_K_Dy_S_,-2.725,-1.033,-62.35,-82.77,-62.183
Ag_K_La_Te_,-2.725,-1.033,-53.111,-70.399,-53.006
Ag_K_La_S_,-2.725,-1.033,-63.868,-84.864,-63.636
Ag_K_Nd_S_,-2.725,-1.033,-62.359,-82.918,-62.178
Ag_K_Pt_O_,-2.725,-1.033,-58.741,-77.773,-58.874
Ag_K_Pt_Se_,-2.725,-1.033,-49.199,-65.521,-49.621
Ag_K_Rb_Se_,-2.725,-1.033,-36.025,-48.574,-36.394
Ag_K_Rh_Se_,-2.725,-1.033,-54.397,-71.663,-53.768
Ag_K_Rh_S_,-2.725,-1.033,-59.031,-77.105,-57.745
Ag_K_Sb_O_,-2.725,-1.033,-58.323,-80.478,-58.462
Ag_K_Sc_Se_,-2.725,-1.033,-60.417,-80.596,-60.532
Ag_K_Sm_Se_,-2.725,-1.033,-56.959,-76.152,-57.232
Ag_K_Sn_Se_,-2.725,-1.033,-44.203,-58.583,-43.85
Ag_K_Sr_Te_,-2.725,-1.033,-39.873,-53.647,-40.776
Ag_K_Sr_S_,-2.725,-1.033,-48.481,-64.809,-49.352
Ag_K_Tl_O_,-2.725,-1.033,-50.217,-66.345,-50.018
Ag_K_Tm_S_,-2.725,-1.033,-62.195,-82.626,-62.042
Ag_K_Yb_O_,-2.725,-1.033,-61.696,-83.292,-62.16
Ag_K_Yb_Te_,-2.725,-1.033,-39.409,-52.743,-39.842
Ag_K_Yb_S_,-2.725,-1.033,-48.752,-65.092,-49.462
Ag_La_Cr_O_,-2.725,-4.876,-79.951,-111.519,-83.945
Ag_La_Eu_Se_,-2.725,-4.876,-56.912,-80.751,-61.837
Ag_La_Ga_S_,-2.725,-4.876,-46.321,-66.997,-51.729
Ag_La_In_S_,-2.725,-4.876,-45.251,-65.777,-50.781
Ag_La_K_S_,-2.725,-4.876,-40.89,-61.264,-48.089
Ag_La_Pr_S_,-2.725,-4.876,-62.311,-87.686,-67.151
Ag_La_Pt_O_,-2.725,-4.876,-58.741,-84.079,-67.651
Ag_La_Rh_O_,-2.725,-4.876,-66.629,-93.623,-71.981
Ag_La_Tm_O_,-2.725,-4.876,-79.583,-111.004,-83.861
Ag_La_Y_O_,-2.725,-4.876,-84.957,-118.103,-89.204
Ag_Li_Al_Te_,-2.725,-1.916,-40.722,-55.061,-41.451
Ag_Li_As_Se_,-2.725,-1.916,-44.147,-59.921,-45.095
Ag_Li_As_S_,-2.725,-1.916,-47.359,-64.818,-48.611
Ag_Li_Ba_Se_,-2.725,-1.916,-45.636,-61.719,-46.958
Ag_Li_Bi_O_,-2.725,-1.916,-58.779,-78.913,-60.179
Ag_Li_Bi_Te_,-2.725,-1.916,-40.47,-54.54,-41.074
Ag_Li_Bi_Se_,-2.725,-1.916,-44.01,-59.648,-44.987
Ag_Li_Ce_Se_,-2.725,-1.916,-57.093,-77.301,-58.3
Ag_Li_Co_Se_,-2.725,-1.916,-52.758,-70.503,-53.082
Ag_Li_Cr_Se_,-2.725,-1.916,-59.761,-80.163,-60.248
Ag_Li_Cu_Se_,-2.725,-1.916,-41.281,-55.323,-42.055
Ag_Li_Fe_S_,-2.725,-1.916,-60.595,-80.56,-60.987
Ag_Li_In_O_,-2.725,-1.916,-58.561,-77.979,-59.956
Ag_Li_Lu_Se_,-2.725,-1.916,-56.266,-75.956,-57.503
Ag_Li_Nd_Se_,-2.725,-1.916,-57.105,-77.396,-58.33
Ag_Li_Pt_O_,-2.725,-1.916,-58.741,-78.286,-59.859
Ag_Li_Pt_Se_,-2.725,-1.916,-49.199,-66.365,-49.958
Ag_Li_Rh_O_,-2.725,-1.916,-66.629,-88.122,-67.686
Ag_Li_Rh_Te_,-2.725,-1.916,-51.307,-69.318,-51.52
Ag_Li_Rh_Se_,-2.725,-1.916,-54.397,-73.018,-54.82
Ag_Li_Sm_S_,-2.725,-1.916,-62.339,-84.021,-63.403
Ag_Li_Sn_Te_,-2.725,-1.916,-40.575,-54.605,-41.084
Ag_Li_Tm_O_,-2.725,-1.916,-79.583,-105.555,-80.893
Ag_Li_V_Se_,-2.725,-1.916,-60.86,-81.494,-61.331
Ag_Li_Y_Se_,-2.725,-1.916,-62.61,-84.789,-63.884
Ag_Li_Yb_O_,-2.725,-1.916,-61.696,-85.672,-64.118
Ag_Lu_Al_Te_,-2.725,-4.45,-40.722,-58.419,-44.752
Ag_Lu_Ca_Se_,-2.725,-4.45,-45.248,-67.729,-52.621
Ag_Lu_Ce_Te_,-2.725,-4.45,-51.56,-72.18,-55.011
Ag_Lu_Co_S_,-2.725,-4.45,-57.856,-80.243,-61.48
Ag_Lu_Cs_O_,-2.725,-4.45,-44.66,-71.972,-55.386
Ag_Lu_Cu_Te_,-2.725,-4.45,-38.134,-55.095,-42.318
Ag_Lu_Hg_Te_,-2.725,-4.45,-27.614,-41.535,-32.043
Ag_Lu_Na_Te_,-2.725,-4.45,-34.336,-50.779,-39.606
Ag_Lu_Rb_S_,-2.725,-4.45,-39.883,-59.953,-45.835
Ag_Lu_Sc_Te_,-2.725,-4.45,-54.172,-75.746,-57.665
Ag_Lu_Sr_Te_,-2.725,-4.45,-39.873,-59.446,-46.132
Ag_Mo_Ca_S_,-2.725,-10.968,-49.22,-76.562,-59.544
Ag_Mo_Cs_Te_,-2.725,-10.968,-32.832,-52.88,-41.209
Ag_Mo_Dy_O_,-2.725,-10.968,-79.174,-108.42,-84.704
Ag_Mo_Hg_Se_,-2.725,-10.968,-30.05,-48.602,-38.946
Ag_Mo_In_O_,-2.725,-10.968,-58.561,-82.342,-64.074
Ag_Mo_In_S_,-2.725,-10.968,-45.251,-67.124,-52.102
Ag_Mo_La_Te_,-2.725,-10.968,-53.111,-76.89,-59.241
Ag_Mo_Pt_Te_,-2.725,-10.968,-47.293,-68.714,-52.933
